Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      987    0.001    0.000    0.002    0.000 inspect.py:911(getfile)
    76/34    0.001    0.000    0.039    0.001 _parser.py:452(_parse_sub)
    50509    0.026    0.000    0.026    0.000 enum.py:1128(__new__)
      4/1    0.000    0.000    0.000    0.000 functools.py:690(_c3_mro)
        2    0.000    0.000    0.000    0.000 functools.py:855(register)
       17    0.004    0.000    0.071    0.004 pyplot.py:872(figure)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
     2840    0.005    0.000    0.023    0.000 inspect.py:1845(getattr_static)
       88    0.000    0.000    0.000    0.000 enum.py:1187(_generate_next_value_)
       17    0.003    0.000    0.014    0.001 __init__.py:1222(use)
        1    0.000    0.000    0.000    0.000 functools.py:777(_find_impl)
        1    0.000    0.000    0.000    0.000 __init__.py:669(update)
       41    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       34    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      103    0.000    0.000    0.000    0.000 traceback.py:265(__init__)
    10720    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      915    0.001    0.000    0.004    0.000 __init__.py:164(match)
        6    0.000    0.000    0.001    0.000 __init__.py:174(search)
      205    0.000    0.000    0.006    0.000 __init__.py:179(sub)
      160    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
       19    0.000    0.000    0.000    0.000 __init__.py:678(_set)
      904    0.001    0.000    0.003    0.000 __init__.py:101(find_spec)
      177    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
       32    0.000    0.000    0.000    0.000 enum.py:956(_check_for_existing_members_)
        5    0.000    0.000    0.000    0.000 functools.py:973(__set_name__)
    21068    0.007    0.000    0.010    0.000 _parser.py:168(__getitem__)
       68    0.000    0.000    0.001    0.000 enum.py:1561(__and__)
        4    0.000    0.000    0.000    0.000 functools.py:663(_c3_merge)
        2    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
      260    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      260    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       32    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
       65    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
      287    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
   172401    0.559    0.000    0.690    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.003    0.003 warnings.py:20(_showwarnmsg_impl)
      142    0.000    0.000    0.000    0.000 inspect.py:310(ismethoddescriptor)
        1    0.000    0.000    0.000    0.000 warnings.py:421(__init__)
        5    0.000    0.000    0.000    0.000 inspect.py:412(_has_coroutine_mark)
      422    0.001    0.000    0.003    0.000 inspect.py:3097(replace)
       61    0.000    0.000    0.000    0.000 enum.py:1266(__hash__)
       52    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
   164959    0.097    0.000    0.173    0.000 __init__.py:698(_get)
