subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
25,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:46:54.806868,2025-08-07T13:48:15.581708,80.77484,14,2,0,486,False,False,False
25,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:48:20.239089,2025-08-07T13:49:19.272514,59.033425,15,2,0,353,True,False,False
25,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:49:21.651148,2025-08-07T13:50:15.687636,54.036488,15,2,0,318,True,False,False
25,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:51:47.606952,2025-08-07T13:52:58.124549,70.517597,15,2,0,425,True,False,False
25,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:53:23.380812,2025-08-07T13:54:11.861174,48.480362,15,2,0,283,True,False,False
25,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:54:26.797000,2025-08-07T13:55:16.823191,50.026191,15,2,0,293,True,False,False
25,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:55:45.297299,2025-08-07T13:56:48.836647,63.539348,15,2,0,383,True,False,False
25,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:56:50.607454,2025-08-07T13:57:49.287131,58.679677,15,2,0,350,True,False,False
25,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:57:49.533983,2025-08-07T13:58:32.421388,42.887405,15,2,0,245,True,False,False
25,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:58:44.535513,2025-08-07T13:59:20.118155,35.582642,15,2,0,202,True,False,False
25,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:59:34.721513,2025-08-07T14:00:20.261251,45.539738,15,2,0,264,True,False,False
25,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T14:00:22.395006,2025-08-07T14:01:02.958632,40.563626,15,2,0,230,True,False,False
25,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T14:01:47.321006,2025-08-07T14:02:43.890504,56.569498,15,2,0,334,True,False,False
25,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T14:02:57.659008,2025-08-07T14:04:11.111315,73.452307,15,2,0,440,True,False,False
25,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T14:04:31.202004,2025-08-07T14:05:26.560142,55.358138,15,2,0,325,True,False,False
25,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T14:05:29.688013,2025-08-07T14:06:07.752160,38.064147,15,2,0,217,True,False,False
25,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T14:06:09.384016,2025-08-07T14:06:53.494512,44.110496,15,2,0,254,True,False,False
25,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T14:07:02.623506,2025-08-07T14:07:49.428343,46.804837,15,2,0,273,True,False,False
