Agent_Name,Mean_MSE,Std_MSE,N_Comparisons,Diff_from_Overall,Worse_than_Overall,P_Value,Significant_Diff
low-noisy_False_greedy_slow,130973.99274655241,64329.77788591442,640,-32987.798802463556,False,4.912770110139112e-32,True
low-noisy_False_greedy_fast,130973.99274655241,64329.77788591442,640,-32987.798802463556,False,4.912770110139112e-32,True
max_greedy-noisy_False_clusters_slow,133015.544451227,63136.69461214307,640,-30946.24709778896,False,1.9476598327229743e-33,True
max_greedy-noisy_False_clusters_fast,133015.544451227,63136.69461214307,640,-30946.24709778896,False,1.9476598327229743e-33,True
low-stable_False_greedy_fast,134345.96163984668,70273.50832199468,640,-29615.82990916929,False,1.1711331971333275e-21,True
low-stable_False_greedy_slow,134345.96163984668,70273.50832199468,640,-29615.82990916929,False,1.1711331971333275e-21,True
max_greedy-noisy_False_greedy_slow,135637.40635011176,64633.10735742612,640,-28324.3851989042,False,1.2143687735046677e-22,True
max_greedy-noisy_False_greedy_fast,135637.40635011176,64633.10735742612,640,-28324.3851989042,False,1.2143687735046677e-22,True
max_greedy-stable_False_greedy_fast,135712.33806085697,68975.27423397473,640,-28249.453488158993,False,2.8649849405758397e-19,True
max_greedy-stable_False_greedy_slow,135712.33806085697,68975.27423397473,640,-28249.453488158993,False,2.8649849405758397e-19,True
max_greedy-stable_False_clusters_fast,142732.29817605828,65509.788876884966,640,-21229.493372957688,False,1.2642758508846506e-12,True
max_greedy-stable_False_clusters_slow,142732.29817605828,65509.788876884966,640,-21229.493372957688,False,1.2642758508846506e-12,True
low-noisy_False_clusters_slow,143834.6344357854,58902.89175645056,640,-20127.157113230554,False,1.6014901853891248e-13,True
low-noisy_False_clusters_fast,143834.6344357854,58902.89175645056,640,-20127.157113230554,False,1.6014901853891248e-13,True
low-stable_False_clusters_fast,143886.39023038544,64378.32326206956,640,-20075.401318630524,False,6.945770489379529e-12,True
low-stable_False_clusters_slow,143886.39023038544,64378.32326206956,640,-20075.401318630524,False,6.945770489379529e-12,True
low-very_noisy_False_greedy_slow,148036.46309826564,50315.52220052732,640,-15925.328450750327,False,5.030834494451509e-13,True
low-very_noisy_False_greedy_fast,148036.46309826564,50315.52220052732,640,-15925.328450750327,False,5.030834494451509e-13,True
max_greedy-very_noisy_False_greedy_slow,151046.59771798464,50664.640513546154,640,-12915.193831031327,False,2.8542265923841056e-09,True
max_greedy-very_noisy_False_greedy_fast,151046.59771798464,50664.640513546154,640,-12915.193831031327,False,2.8542265923841056e-09,True
low-stable_True_greedy_slow,153953.9633813494,67256.76292304002,640,-10007.828167666565,False,0.014972071361526477,True
low-stable_True_greedy_fast,153953.9633813494,67256.76292304002,640,-10007.828167666565,False,0.014972071361526477,True
max_greedy-very_noisy_False_clusters_slow,155303.73451374687,56810.187858492274,640,-8658.0570352691,False,6.1723734467641025e-06,True
max_greedy-very_noisy_False_clusters_fast,155303.73451374687,56810.187858492274,640,-8658.0570352691,False,6.1723734467641025e-06,True
low-stable_True_clusters_slow,156034.8755211886,56562.68460615572,640,-7926.916027827363,False,0.02848079786108565,True
low-stable_True_clusters_fast,156034.8755211886,56562.68460615572,640,-7926.916027827363,False,0.02848079786108565,True
high-noisy_False_clusters_fast,157393.39663630392,53514.74774320487,640,-6568.394912712043,False,0.05227427821613698,False
high-noisy_False_clusters_slow,157393.39663630392,53514.74774320487,640,-6568.394912712043,False,0.05227427821613698,False
high-stable_False_clusters_slow,159996.2359343418,54959.06827566021,640,-3965.555614674173,False,0.6044914395919859,False
high-stable_False_clusters_fast,159996.2359343418,54959.06827566021,640,-3965.555614674173,False,0.6044914395919859,False
high-stable_True_greedy_slow,160138.49833208724,56397.710357085525,640,-3823.2932169287233,False,0.45804422125031363,False
high-stable_True_greedy_fast,160138.49833208724,56397.710357085525,640,-3823.2932169287233,False,0.45804422125031363,False
max_greedy-very_noisy_True_clusters_slow,161880.87097310828,56761.716320088555,640,-2080.9205759076867,False,0.08271157139293332,False
max_greedy-very_noisy_True_clusters_fast,161880.87097310828,56761.716320088555,640,-2080.9205759076867,False,0.08271157139293332,False
max_greedy-noisy_True_clusters_fast,162506.25248968496,63581.48593173441,640,-1455.5390593310003,False,0.3835394607374881,False
max_greedy-noisy_True_clusters_slow,162506.25248968496,63581.48593173441,640,-1455.5390593310003,False,0.3835394607374881,False
low-very_noisy_False_clusters_slow,162559.58969846898,59661.01455867253,640,-1402.2018505469896,False,0.21103284676870548,False
low-very_noisy_False_clusters_fast,162559.58969846898,59661.01455867253,640,-1402.2018505469896,False,0.21103284676870548,False
low-noisy_True_greedy_slow,163563.16975345463,68124.59846513745,640,-398.62179556133924,False,0.692713454083209,False
low-noisy_True_greedy_fast,163563.16975345463,68124.59846513745,640,-398.62179556133924,False,0.692713454083209,False
max_greedy-stable_True_clusters_fast,163583.99474120646,59000.02055966748,640,-377.7968078095,False,0.6809771962449553,False
max_greedy-stable_True_clusters_slow,163583.99474120646,59000.02055966748,640,-377.7968078095,False,0.6809771962449553,False
OVERALL_HEURISTIC,163961.79154901596,64648.75232092889,61440,0.0,False,,
high-noisy_True_greedy_fast,164327.64121484445,59405.0279592495,640,365.84966582848574,True,0.46849884056057467,False
high-noisy_True_greedy_slow,164327.64121484445,59405.0279592495,640,365.84966582848574,True,0.46849884056057467,False
max_greedy-stable_True_greedy_slow,165002.15804948664,64612.24482664238,640,1040.3665004706709,True,0.2011754549653475,False
max_greedy-stable_True_greedy_fast,165002.15804948664,64612.24482664238,640,1040.3665004706709,True,0.2011754549653475,False
high-noisy_True_clusters_fast,165598.28471566518,53844.53999375277,640,1636.4931666492193,True,0.6319123154804284,False
high-noisy_True_clusters_slow,165598.28471566518,53844.53999375277,640,1636.4931666492193,True,0.6319123154804284,False
high-stable_False_greedy_slow,165884.55817026534,55146.17097676849,640,1922.7666212493787,True,0.1979232666585926,False
high-stable_False_greedy_fast,165884.55817026534,55146.17097676849,640,1922.7666212493787,True,0.1979232666585926,False
high-noisy_False_greedy_fast,165918.9429582315,55850.424167781224,640,1957.1514092155267,True,0.21395065490378828,False
