subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
7,P1,P,1,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:05:20.594297,2025-08-01T13:06:36.701524,76.107227,11,2,0,486,False,False,False
7,P4,P,4,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:06:39.193289,2025-08-01T13:07:36.320945,57.127656,15,2,0,367,True,False,False
7,B1,B,1,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:07:39.702786,2025-08-01T13:08:56.879475,77.176689,14,2,0,486,False,False,False
7,A1,A,1,./user_study/saved_agents/strategy_trained_model.zip,2025-08-01T13:09:22.142743,2025-08-01T13:10:39.092797,76.950054,14,2,0,486,False,False,False
7,A3,A,3,./user_study/saved_agents/strategy_trained_model.zip,2025-08-01T13:11:06.196793,2025-08-01T13:11:55.268516,49.071723,15,2,0,308,True,False,False
7,B3,B,3,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:11:57.571296,2025-08-01T13:12:46.417045,48.845749,15,2,0,308,True,False,False
7,B4,B,4,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:13:10.502141,2025-08-01T13:13:58.075676,47.573535,15,2,0,299,True,False,False
7,A4,A,4,./user_study/saved_agents/strategy_trained_model.zip,2025-08-01T13:13:59.713287,2025-08-01T13:14:47.057789,47.344502,15,2,0,297,True,False,False
7,S3,S,3,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:15:07.241212,2025-08-01T13:16:07.281443,60.040231,15,2,0,388,True,False,False
7,S7,S,7,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:16:25.875636,2025-08-01T13:17:25.230402,59.354766,15,2,0,384,True,False,False
7,A5,A,5,./user_study/saved_agents/strategy_trained_model.zip,2025-08-01T13:17:25.492056,2025-08-01T13:18:28.839651,63.347595,15,2,0,404,True,False,False
7,B5,B,5,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:18:30.644289,2025-08-01T13:19:22.612206,51.967917,15,2,0,328,True,False,False
7,B7,B,7,./user_study/saved_agents/selfplay_seed77_model.zip,2025-08-01T13:19:42.704008,2025-08-01T13:20:34.690242,51.986234,15,3,0,328,True,False,False
7,A7,A,7,./user_study/saved_agents/strategy_trained_model.zip,2025-08-01T13:20:43.149787,2025-08-01T13:21:40.114413,56.964626,15,2,0,361,True,False,False
